filename,class_id,x_center,y_center,width,height
-1-_JPG_jpg.rf.5b9b069da6435e2542e8b7fd2358504a.jpg,0,0.63125,0.4453125,0.3671875,0.42578125
-11-_JPG_jpg.rf.c63f7fef285caeb719d5043a61023650.jpg,0,0.61953125,0.45625,0.45546875,0.60078125
-4-_JPG_jpg.rf.a946055b0ef250b38b08811dbed608aa.jpg,1,0.68125,0.4203125,0.27265625,0.4828125
-63-_jpg.rf.b551f0850b38007cf5d41939f10af208.jpg,0,0.540625,0.546875,0.36640625,0.59765625
-7-_JPG_jpg.rf.4846a26a3ad0099203a79c0467ea8a99.jpg,0,0.62890625,0.490625,0.678125,0.540625
-_-_-_jpg.rf.367c05f849499d73d37fd2db5f14bf3b.jpg,0,0.33515625,0.59609375,0.44296875,0.515625
-_JPG_jpg.rf.74dea411b3050b5b236928a89f7a84ff.jpg,1,0.471875,0.5109375,0.52890625,0.803125
-_yythkg_jpg.rf.7063e880fab9a6b008f65a37be6553c9.jpg,1,0.496875,0.5328125,0.4578125,0.85859375
00001_png_jpg.rf.b5052dc01e5f8a3d5c4ffe184a1ae652.jpg,1,0.45,0.55625,0.23515625,0.4484375
00002_png_jpg.rf.cdfda37ff9c98b0c77af175e0bc8746f.jpg,1,0.4859375,0.5828125,0.2625,0.8328125
00003_png_jpg.rf.5ecdc9a19b55712638548f505ae8978b.jpg,1,0.475,0.5515625,0.2453125,0.84375
00004_png_jpg.rf.2b0ef56d969f52d7fe06e86cfa131b76.jpg,1,0.53203125,0.521875,0.2625,0.859375
00005_png_jpg.rf.06110e6461718c3b2b8b9efbbee06990.jpg,1,0.48203125,0.53671875,0.2984375,0.75078125
00005_png_jpg.rf.5b50a3adcf6f63809d6613d939e1d60d.jpg,0,0.4921875,0.55,0.296875,0.75
00009_png_jpg.rf.045e3ded9574c740a61d05ee138f0b9d.jpg,0,0.446875,0.5359375,0.228125,0.7359375
00009_png_jpg.rf.0f06faa57c62632488baa3c7ada12f3f.jpg,0,0.553125,0.5359375,0.228125,0.7359375
00009_png_jpg.rf.5854553f1d8eb0fec571420312182bab.jpg,0,0.446875,0.53671875,0.228125,0.7359375
00014_png_jpg.rf.8e59442c3a0cd748682ff2a8264a46c2.jpg,0,0.490625,0.584375,0.26328125,0.83125
00015_png_jpg.rf.10508ce7614c8ca449cdecc7909c44cd.jpg,0,0.45859375,0.5140625,0.23671875,0.76171875
00015_png_jpg.rf.8a0fcd3473030b604cfe82be87298b01.jpg,0,0.546875,0.515625,0.2359375,0.7609375
00021_png_jpg.rf.dcb4ea298f2857a4e2c694f711f12747.jpg,0,0.4546875,0.55625,0.209375,0.709375
00021_png_jpg.rf.e4c760760ff7339778020a84d689555c.jpg,0,0.5453125,0.55625,0.209375,0.709375
00027_png_jpg.rf.1d88887a84894d779cace19b15402763.jpg,0,0.525,0.5828125,0.3234375,0.6671875
00027_png_jpg.rf.9b03fac43c3aab5871be4f249a8fd7fc.jpg,0,0.475,0.5828125,0.3234375,0.6671875
00027_png_jpg.rf.9de0e0bc814f7be8da082f2c648c5a06.jpg,0,0.47578125,0.58359375,0.325,0.66796875
