filename,class_id,x_center,y_center,width,height,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,kp4_x,kp4_y,kp4_v,kp5_x,kp5_y,kp5_v,kp6_x,kp6_y,kp6_v,kp7_x,kp7_y,kp7_v,kp8_x,kp8_y,kp8_v,kp9_x,kp9_y,kp9_v,kp10_x,kp10_y,kp10_v,kp11_x,kp11_y,kp11_v,kp12_x,kp12_y,kp12_v,kp13_x,kp13_y,kp13_v,kp14_x,kp14_y,kp14_v,kp15_x,kp15_y,kp15_v,kp16_x,kp16_y,kp16_v
IMG_9856_jpg.rf.ea556afa054f1d58a77368e0d6fbe27e.jpg,1,0.43203125,0.746875,0.48671875,0.21015625,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.7647038102149963, 0.3711194694042206]","[0.0, 0.0]","[0.7573865056037903, 0.3739400804042816]","[0.0, 0.0]","[0.7341455221176147, 0.38649988174438477]","[0.0, 0.0]","[0.7802421450614929, 0.4539303183555603]","[0.7629290819168091, 0.4749360680580139]","[0.5908907651901245, 0.474144846200943]","[0.6255443096160889, 0.5588454008102417]","[0.5917563438415527, 0.6659102439880371]","[0.6898567080497742, 0.7435446381568909]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
posture-757-_jpg.rf.25f4dc40ddf12b83fe039c6e0f2af371.jpg,1,0.4953125,0.6546875,0.9265625,0.6703125,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.5490403771400452, 0.514193594455719]","[0.5385966897010803, 0.543408215045929]","[0.5898017883300781, 0.6358628273010254]","[0.6307594180107117, 0.6474391222000122]","[0.475308358669281, 0.7988736629486084]","[0.468484103679657, 0.8086190223693848]","[0.6212027668952942, 0.5212821960449219]","[0.5876097083091736, 0.515182614326477]","[0.5412675738334656, 0.6918298006057739]","[0.3451012372970581, 0.6832367777824402]","[0.36338311433792114, 0.7244811654090881]","[0.06203045696020126, 0.6486765146255493]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sit39_jpg.rf.63fe5c273225a718143226acc8979db6.jpg,1,0.5125,0.55234375,0.60390625,0.79609375,"[0.5584217309951782, 0.24701717495918274]","[0.5767728090286255, 0.22543759644031525]","[0.5362326502799988, 0.2266121208667755]","[0.6007468104362488, 0.2496950626373291]","[0.5027647614479065, 0.250916063785553]","[0.646814227104187, 0.34742528200149536]","[0.4445277154445648, 0.33850446343421936]","[0.6987231969833374, 0.4396750330924988]","[0.38803648948669434, 0.42889127135276794]","[0.6896520256996155, 0.5039429664611816]","[0.385062038898468, 0.4924929141998291]","[0.6073591113090515, 0.5152139663696289]","[0.4589913785457611, 0.5109710097312927]","[0.7136430740356445, 0.5702409744262695]","[0.358154833316803, 0.5741821527481079]","[0.6994451284408569, 0.8196253776550293]","[0.3379950523376465, 0.8120450973510742]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
back-b-1-1-400x600xc_jpg.rf.40a964ae17226710f7842f01aa0f7a4d.jpg,1,0.6140625,0.475,0.31484375,0.5234375,"[0.5495947003364563, 0.3140158951282501]","[0.573126494884491, 0.29290884733200073]","[0.0, 0.0]","[0.6430327892303467, 0.3057534992694855]","[0.0, 0.0]","[0.6924365162849426, 0.43306416273117065]","[0.6428524255752563, 0.4174775183200836]","[0.6951221823692322, 0.618779182434082]","[0.6253035664558411, 0.5712438821792603]","[0.5194910764694214, 0.6528798341751099]","[0.5224771499633789, 0.6032796502113342]","[0.6232587695121765, 0.6868710517883301]","[0.5996781587600708, 0.6454551219940186]","[0.3314366042613983, 0.715689480304718]","[0.3715134263038635, 0.6447247862815857]","[0.3344833254814148, 0.9223589897155762]","[0.40928658843040466, 0.8536275625228882]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Screenshot-2022-08-09-104840_jpg.rf.5d828787bcc309bc464efd6f7eafcc19.jpg,0,0.4375,0.4671875,0.434375,0.7296875,"[0.4082823395729065, 0.22276321053504944]","[0.430562824010849, 0.20270340144634247]","[0.4028749465942383, 0.20227697491645813]","[0.4876842498779297, 0.2106209099292755]","[0.0, 0.0]","[0.5725583434104919, 0.29143860936164856]","[0.41430217027664185, 0.2964777648448944]","[0.5978848934173584, 0.4441775381565094]","[0.3889506459236145, 0.42086514830589294]","[0.47639185190200806, 0.4988649785518646]","[0.35815683007240295, 0.4943513870239258]","[0.5995907187461853, 0.47335487604141235]","[0.4825824201107025, 0.4652182459831238]","[0.5482784509658813, 0.5249563455581665]","[0.3504132330417633, 0.5158649682998657]","[0.5416929125785828, 0.7405020594596863]","[0.31925472617149353, 0.7517447471618652]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0024_jpg.rf.c1c907cc907eab42d6d122eca874f72d.jpg,1,0.35027288474587387,0.5,0.7005457694917477,1.0,"[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.09542523324489594, 0.08942089229822159]","[0.10722661018371582, 0.09089350700378418]","[0.1981714516878128, 0.3638499677181244]","[0.2119603157043457, 0.4001308083534241]","[0.0, 0.0]","[0.3698500990867615, 0.3175031542778015]","[0.16928797960281372, 0.5435031652450562]","[0.17317059636116028, 0.5718232989311218]","[0.4665881097316742, 0.581226110458374]","[0.4930747449398041, 0.5761100649833679]","[0.46905890107154846, 0.8846734166145325]","[0.5051851272583008, 0.9136487245559692]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sit33_jpg.rf.0e3a12b8607de8a4396bd2316e983245.jpg,1,0.57734375,0.565625,0.46015625,0.76328125,"[0.6222848892211914, 0.27122923731803894]","[0.6384676694869995, 0.2541700303554535]","[0.6028958559036255, 0.25342702865600586]","[0.6581714749336243, 0.27187418937683105]","[0.5671667456626892, 0.2688494324684143]","[0.7052664756774902, 0.3551024794578552]","[0.5008692145347595, 0.34687262773513794]","[0.706093430519104, 0.45964375138282776]","[0.5012173652648926, 0.45377302169799805]","[0.5444449186325073, 0.4457579553127289]","[0.6488326191902161, 0.4387036859989166]","[0.6669967770576477, 0.5362108945846558]","[0.5120200514793396, 0.5341001749038696]","[0.7593411207199097, 0.5912745594978333]","[0.45650655031204224, 0.5995425581932068]","[0.7064656019210815, 0.8200367093086243]","[0.4433354437351227, 0.8289942741394043]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13_png.rf.757939f05259ed8cb863e0436baf5cc9.jpg,1,0.6390625,0.3796875,0.30859375,0.5125,"[0.5661355257034302, 0.22440306842327118]","[0.588233232498169, 0.2015928030014038]","[0.0, 0.0]","[0.650969922542572, 0.2089710682630539]","[0.0, 0.0]","[0.7044779062271118, 0.3106759786605835]","[0.6306993961334229, 0.32812947034835815]","[0.648055374622345, 0.47774067521095276]","[0.5624756813049316, 0.4759807586669922]","[0.4608835279941559, 0.4682648777961731]","[0.4661913514137268, 0.47597694396972656]","[0.6506660580635071, 0.5959115028381348]","[0.6001571416854858, 0.5729103684425354]","[0.3263024687767029, 0.5980148911476135]","[0.31763243675231934, 0.5901152491569519]","[0.2692025601863861, 0.8124029040336609]","[0.2824800908565521, 0.8123711347579956]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
posture-886-_jpg.rf.2ac74a39ddc1bc6da82c76033c0d7322.jpg,0,0.38671875,0.4921875,0.4546875,0.8625,"[0.4934786260128021, 0.2876293361186981]","[0.0, 0.0]","[0.47955870628356934, 0.2518768906593323]","[0.0, 0.0]","[0.3907161355018616, 0.23265960812568665]","[0.34769099950790405, 0.3336803615093231]","[0.2671475410461426, 0.38832545280456543]","[0.3472018241882324, 0.5301921963691711]","[0.31749483942985535, 0.6806366443634033]","[0.4826560914516449, 0.4988270699977875]","[0.49660977721214294, 0.5641273856163025]","[0.3708215653896332, 0.7125250101089478]","[0.3091091811656952, 0.7668918371200562]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sit108_jpg.rf.df5f912cf7a5285a60134e74f6198717.jpg,0,0.5125,0.4875,0.5203125,0.84375,"[0.3833620548248291, 0.1747085303068161]","[0.3947984576225281, 0.149773508310318]","[0.3572208285331726, 0.16012749075889587]","[0.42184561491012573, 0.15759482979774475]","[0.32562705874443054, 0.18030735850334167]","[0.46042078733444214, 0.25476670265197754]","[0.31238821148872375, 0.27110373973846436]","[0.45624834299087524, 0.3994514048099518]","[0.3314617872238159, 0.4405432641506195]","[0.36578890681266785, 0.48449549078941345]","[0.4525756239891052, 0.4948684275150299]","[0.45751872658729553, 0.434443861246109]","[0.33705633878707886, 0.4455747604370117]","[0.5586104989051819, 0.5457286834716797]","[0.34751904010772705, 0.5505242347717285]","[0.6285554766654968, 0.800857424736023]","[0.3535338044166565, 0.7759038209915161]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
